TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Quat_1,Quat_2,Quat_3,Quat_4
0.3972335,-0.9947509,0.07678221,0.03320312,-0.4034042,1.466751,-0.003814697, 0.07436617, 0.6612442, 0.2177261, -0.6460048
0.3998718,-0.9947509,0.07678221,0.03320312,-0.4034042,1.466751,-0.003814697, 0.07436617, 0.6612442, 0.2177261, -0.6460048
0.4023166,-0.9947509,0.07678221,0.03320312,-0.4034042,1.466751,-0.003814697, 0.07436617, 0.6612442, 0.2177261, -0.6460048
0.4050808,-0.9947509,0.07678221,0.03320312,-0.4034042,1.466751,-0.003814697, 0.07316624, 0.6625695, 0.2141325, -0.6477636
0.4079838,-0.9761962,0.08850096,0.004882805,2.449036,1.48201,0.5292892, 0.07316624, 0.6625695, 0.2141325, -0.6477636
0.4110551,-0.9761962,0.08850096,0.004882805,2.449036,1.48201,0.5292892, 0.07316624, 0.6625695, 0.2141325, -0.6477636
0.4139781,-0.9761962,0.08850096,0.004882805,2.449036,1.48201,0.5292892, 0.07316624, 0.6625695, 0.2141325, -0.6477636
0.4165225,-0.9761962,0.08850096,0.004882805,2.449036,1.48201,0.5292892, 0.07316624, 0.6625695, 0.2141325, -0.6477636
0.4189939,-0.9761962,0.08850096,0.004882805,2.449036,1.48201,0.5292892, 0.07316624, 0.6625695, 0.2141325, -0.6477636
0.421988,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4247527,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.427917,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4307957,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4330187,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4359035,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4395456,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4421105,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4448586,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4475608,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4502635,-1.026489,0.08898924,0.01220702,3.425598,3.099442,1.673698, 0.07195345, 0.6640412, 0.2105075, -0.6493417
0.4530849,-1.032837,0.09045409,0.03417968,4.432678,3.023148,2.039909, 0.0707707, 0.6654434, 0.2069244, -0.650871
0.4569364,-1.032837,0.09045409,0.03417968,4.432678,3.023148,2.039909, 0.0707707, 0.6654434, 0.2069244, -0.650871
0.465786,-1.032837,0.09045409,0.03417968,4.432678,3.023148,2.039909, 0.0707707, 0.6654434, 0.2069244, -0.650871
0.4689898,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4721723,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4756002,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4783921,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.481216,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4840894,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4865651,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4896088,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4921618,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4947681,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.4973373,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.5001659,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.5032606,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.506155,-0.9820555,0.1099853,0.01562499,-1.349449,-1.049995,1.811028, 0.06838976, 0.6677095, 0.1995424, -0.6543958
0.5137076,-0.9879149,0.08654784,0.01074218,-3.088951,1.329422,4.038811, 0.06728457, 0.668824, 0.1959622, -0.6559352
0.5173202,-0.9879149,0.08654784,0.01074218,-3.088951,1.329422,4.038811, 0.06728457, 0.668824, 0.1959622, -0.6559352
0.520462,-0.9879149,0.08654784,0.01074218,-3.088951,1.329422,4.038811, 0.06728457, 0.668824, 0.1959622, -0.6559352
0.5239348,-0.9879149,0.08654784,0.01074218,-3.088951,1.329422,4.038811, 0.06728457, 0.668824, 0.1959622, -0.6559352
0.5268226,-0.9879149,0.08654784,0.01074218,-3.088951,1.329422,4.038811, 0.06728457, 0.668824, 0.1959622, -0.6559352
0.5300794,-1.006958,0.1094971,0.02685546,0.4653931,1.588821,-0.8583069, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.533237,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.536737,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5402207,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5439811,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5474687,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5510397,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5544457,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5584517,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5699182,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5732059,-0.9835204,0.1090088,0.02539062,-0.5712509,-1.675606,-1.514435, 0.06377779, 0.6722108, 0.1851259, -0.660495
0.5765438,-0.9986571,0.0953369,0.01660156,2.906799,0.6732941,4.206657, 0.06135368, 0.6743379, 0.1775605, -0.6636122
0.5798125,-0.9986571,0.0953369,0.01660156,2.906799,0.6732941,4.206657, 0.06135368, 0.6743379, 0.1775605, -0.6636122
0.5825896,-0.9986571,0.0953369,0.01660156,2.906799,0.6732941,4.206657, 0.06135368, 0.6743379, 0.1775605, -0.6636122
0.5852623,-0.9986571,0.0953369,0.01660156,2.906799,0.6732941,4.206657, 0.06135368, 0.6743379, 0.1775605, -0.6636122
0.5880094,-0.9986571,0.0953369,0.01660156,2.906799,0.6732941,4.206657, 0.06135368, 0.6743379, 0.1775605, -0.6636122
0.5912619,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.5940819,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.5964618,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.5987954,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6012731,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6041875,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6076746,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6107697,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6134877,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6160388,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6189146,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6219831,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6254034,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.628499,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
